ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415217768.33975,template1,0,0,0,0,0,0,0,0,0,0
1415217768.33975,template0,0,0,0,0,0,0,0,0,0,0
1415217768.33975,postgres,0,240,2,2035,12027,79604,5708,0,0,0
1415217768.33975,dbt3,11,9149,0,410226738,2078126111,29950978683,4705731110,176415033,1502,2702808
1415217828.34522,template1,0,0,0,0,0,0,0,0,0,0
1415217828.34522,template0,0,0,0,0,0,0,0,0,0,0
1415217828.34522,postgres,0,242,2,2035,12082,80266,5719,0,0,0
1415217828.34522,dbt3,11,9220,0,410960742,2080045786,29988388676,4705737248,203015207,1571,2702814
1415217888.34653,template1,0,0,0,0,0,0,0,0,0,0
1415217888.34653,template0,0,0,0,0,0,0,0,0,0,0
1415217888.34653,postgres,0,244,2,2035,12137,80928,5730,0,0,0
1415217888.34653,dbt3,7,9246,0,411221877,2081254490,30056395120,4705740458,203015350,1573,2702814
1415217948.35781,template1,0,0,0,0,0,0,0,0,0,0
1415217948.35781,template0,0,0,0,0,0,0,0,0,0,0
1415217948.35781,postgres,0,246,2,2035,12192,81590,5741,0,0,0
1415217948.35781,dbt3,4,9261,0,411221878,2081299096,30056400839,4705742356,203015382,1573,2702814
1415218008.35906,template1,0,0,0,0,0,0,0,0,0,0
1415218008.35906,template0,0,0,0,0,0,0,0,0,0,0
1415218008.35906,postgres,0,248,2,2035,12247,82252,5752,0,0,0
1415218008.35906,dbt3,6,9271,0,411221878,2081301695,30056405097,4705743429,203015382,1573,2702814
1415218068.36345,template1,0,0,0,0,0,0,0,0,0,0
1415218068.36345,template0,0,0,0,0,0,0,0,0,0,0
1415218068.36345,postgres,0,250,2,2035,12302,82914,5763,0,0,0
1415218068.36345,dbt3,13,9292,0,412287558,2083612918,30056410069,4705744890,263001434,1573,2702814
1415218128.36683,template1,0,0,0,0,0,0,0,0,0,0
1415218128.36683,template0,0,0,0,0,0,0,0,0,0,0
1415218128.36683,postgres,0,252,2,2035,12357,83576,5774,0,0,0
1415218128.36683,dbt3,13,9306,0,412287558,2083616026,30056414922,4705746240,263001434,1573,2702814
1415218188.37337,template1,0,0,0,0,0,0,0,0,0,0
1415218188.37337,template0,0,0,0,0,0,0,0,0,0,0
1415218188.37337,postgres,0,254,2,2035,12412,84238,5785,0,0,0
1415218188.37337,dbt3,10,9323,0,414414264,2083624038,30176392699,4705748090,263001442,1575,2702814
1415218248.37171,template1,0,0,0,0,0,0,0,0,0,0
1415218248.37171,template0,0,0,0,0,0,0,0,0,0,0
1415218248.37171,postgres,0,256,2,2035,12467,84900,5796,0,0,0
1415218248.37171,dbt3,9,9338,0,417496962,2083740876,30356355604,4705749635,263001460,1575,2702814
1415218308.37742,template1,0,0,0,0,0,0,0,0,0,0
1415218308.37742,template0,0,0,0,0,0,0,0,0,0,0
1415218308.37742,postgres,0,258,2,2035,12522,85562,5807,0,0,0
1415218308.37742,dbt3,7,9354,0,419545001,2083827285,30476333101,4705751469,263001472,1575,2702814
1415218368.38065,template1,0,0,0,0,0,0,0,0,0,0
1415218368.38065,template0,0,0,0,0,0,0,0,0,0,0
1415218368.38065,postgres,0,260,2,2035,12577,86224,5818,0,0,0
1415218368.38065,dbt3,4,9365,0,419545001,2083830366,30476338014,4705752804,263001472,1575,2702814
1415218428.39139,template1,0,0,0,0,0,0,0,0,0,0
1415218428.39139,template0,0,0,0,0,0,0,0,0,0,0
1415218428.39139,postgres,0,262,2,2035,12632,86886,5829,0,0,0
1415218428.39139,dbt3,4,9385,0,420561706,2083883068,30536329916,4705754744,263001478,1575,2702814
