ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415217768.33908,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,24337,23311,23298,177,52538
1415217768.33908,pg_catalog,pg_type,pg_type_typname_nsp_index,2598,1977,1867,517,6688
1415217768.33908,pg_catalog,pg_type,pg_type_oid_index,96825,96552,96552,126,176998
1415217768.33908,pg_toast,pg_toast_2619,pg_toast_2619_index,17307,58105,58105,71,20067
1415217768.33908,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_2618,pg_toast_2618_index,478,1550,1550,120,604
1415217768.33908,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415217768.33908,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_authid,pg_authid_oid_index,4394,4394,4394,36,8752
1415217768.33908,pg_catalog,pg_authid,pg_authid_rolname_index,4357,4357,4357,40,8674
1415217768.33908,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,5395,24241,24241,631,15124
1415217768.33908,pg_catalog,pg_proc,pg_proc_oid_index,33887,33887,33887,333,71636
1415217768.33908,pg_catalog,pg_class,pg_class_relname_nsp_index,16298,8571,8484,131,37378
1415217768.33908,pg_catalog,pg_class,pg_class_oid_index,97622,97390,97390,51,153044
1415217768.33908,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,88868,196989,196888,270,183895
1415217768.33908,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,122,122,122,207,2150
1415217768.33908,pg_catalog,pg_constraint,pg_constraint_oid_index,34,16,16,6,80
1415217768.33908,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,6,30
1415217768.33908,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,6,30
1415217768.33908,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,6,30
1415217768.33908,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,128,0,0,64,64
1415217768.33908,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,15220,148338,148338,161,33501
1415217768.33908,pg_catalog,pg_operator,pg_operator_oid_index,18004,18004,18004,193,39062
1415217768.33908,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_opclass,pg_opclass_oid_index,19298,19298,19298,32,23730
1415217768.33908,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,6623,259699,259699,111,8383
1415217768.33908,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_amop,pg_amop_opr_fam_index,15721,33195,33195,139,34386
1415217768.33908,pg_catalog,pg_amop,pg_amop_fam_strat_index,22737,22737,22737,110,47509
1415217768.33908,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,19054,28330,28330,48,42524
1415217768.33908,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,2276,2276,2276,147,3829
1415217768.33908,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,1042,970,898,159,1622
1415217768.33908,pg_catalog,pg_rewrite,pg_rewrite_oid_index,216,144,144,98,263
1415217768.33908,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_description,pg_description_o_c_o_index,562,0,0,178,1074
1415217768.33908,pg_catalog,pg_database,pg_database_oid_index,6615,6614,6614,32,11174
1415217768.33908,pg_catalog,pg_database,pg_database_datname_index,8943,8942,8942,32,13492
1415217768.33908,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_namespace,pg_namespace_oid_index,1688,1678,1678,293,1941
1415217768.33908,pg_catalog,pg_namespace,pg_namespace_nspname_index,12116,7778,7778,37,16417
1415217768.33908,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_depend,pg_depend_reference_index,4283,4714,3916,932,9885
1415217768.33908,pg_catalog,pg_depend,pg_depend_depender_index,1191,1944,1944,452,4179
1415217768.33908,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,13770,0,0,16,13754
1415217768.33908,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_tablespace,pg_tablespace_oid_index,3155,3155,3155,42,6268
1415217768.33908,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_shdepend,pg_shdepend_reference_index,149,149,149,130,158
1415217768.33908,pg_catalog,pg_shdepend,pg_shdepend_depender_index,563,0,0,121,571
1415217768.33908,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,552,0,0,58,494
1415217768.33908,pg_catalog,pg_seclabel,pg_seclabel_object_index,562,0,0,57,505
1415217768.33908,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1415217768.33908,pg_catalog,pg_range,pg_range_rngtypid_index,1010,0,0,146,1874
