# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415217818;41074308;223045248;84.45;106120;201611400;90739108;33.15;135098580;78742176
axle;60;1415217878;35948308;228171248;86.39;106476;207118080;90373060;33.02;139134976;79837548
axle;60;1415217938;34165188;229954368;87.06;106648;209127164;90170456;32.95;140883732;79889300
axle;60;1415217998;32132100;231987456;87.83;106832;211159280;90149100;32.94;142878736;79927688
axle;60;1415218058;30115204;234004352;88.60;107116;213181272;90165896;32.95;144828320;79986844
axle;60;1415218118;27472448;236647108;89.60;107300;213968848;92074308;33.64;146983744;80477620
axle;60;1415218178;20480404;243639152;92.25;107560;215105160;98789800;36.10;153046924;81405336
axle;60;1415218238;13036188;251083368;95.06;107840;219995556;100330088;36.66;156525480;85358884
axle;60;1415218298;17555324;246564232;93.35;108212;221530424;94301412;34.46;149989448;87388772
axle;60;1415218358;16252844;247866712;93.85;108480;222829684;94317532;34.46;150211500;88466872
axle;60;1415218418;13246452;250873104;94.98;108648;225830808;94333736;34.47;152370800;89309284
