# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415219280;sdb;1650.68;7308.80;144081.73;91.71;7.99;4.85;0.05;7.86
axle;60;1415219280;sda;607.43;4.00;30793.07;50.70;12.49;20.53;0.24;14.50
axle;60;1415219340;sdb;291.60;7244.93;79632.53;297.93;3.26;11.17;0.15;4.24
axle;60;1415219340;sda;99.53;0.27;7310.93;73.45;1.53;15.35;0.72;7.13
axle;60;1415219400;sdb;1504.87;6920.67;71188.67;51.90;6.65;4.42;0.04;6.66
axle;60;1415219400;sda;125.37;0.00;5301.20;42.29;5.20;41.46;0.59;7.45
axle;60;1415219460;sdb;189.48;7168.00;18664.80;136.33;0.16;0.86;0.05;1.00
axle;60;1415219460;sda;3.30;4.13;60.80;19.68;0.00;0.10;0.10;0.03
axle;60;1415219520;sdb;1140.30;6958.93;90285.33;85.28;4.10;3.55;0.05;5.69
axle;60;1415219520;sda;30.33;0.00;1265.60;41.72;0.01;0.44;0.24;0.72
axle;60;1415219580;sdb;651.03;7197.87;61892.00;106.12;4.76;7.40;0.09;5.54
axle;60;1415219580;sda;33.00;0.13;1313.07;39.79;0.05;1.62;0.44;1.45
axle;60;1415219640;sdb;206.40;6690.13;67498.13;359.44;1.72;8.36;0.18;3.71
axle;60;1415219640;sda;31.70;0.00;1815.87;57.28;0.01;0.30;0.24;0.76
axle;60;1415219700;sdb;1487.85;6907.87;55855.07;42.18;3.52;2.37;0.03;3.97
axle;60;1415219700;sda;57.20;0.00;2177.47;38.07;0.02;0.40;0.25;1.44
axle;60;1415219760;sdb;172.60;6958.93;11084.53;104.54;0.15;0.88;0.05;0.85
axle;60;1415219760;sda;3.20;4.13;60.27;20.12;0.00;0.35;0.17;0.05
axle;60;1415219820;sdb;1460.78;7313.60;45425.73;36.10;3.19;2.19;0.03;3.76
axle;60;1415219820;sda;2.83;0.00;354.00;124.94;0.00;0.00;0.00;0.00
axle;60;1415219880;sdb;226.68;6899.20;10236.27;75.59;0.60;2.65;0.05;1.20
axle;60;1415219880;sda;3.38;0.80;62.40;18.68;0.00;0.75;0.47;0.16
axle;60;1415219940;sdb;544.03;7247.99;22220.16;54.17;1.61;2.96;0.04;2.23
axle;60;1415219940;sda;77.15;0.00;3100.95;40.19;0.26;3.42;0.17;1.35
axle;60;1415220000;sdb;1217.62;7244.80;57656.00;53.30;2.29;1.88;0.03;3.92
axle;60;1415220000;sda;4.18;8.93;57.20;15.81;0.02;3.84;0.19;0.08
axle;60;1415220060;sdb;248.02;7116.93;68291.33;304.05;1.36;5.50;0.15;3.83
axle;60;1415220060;sda;5.57;0.00;444.80;79.90;0.00;0.14;0.11;0.06
axle;60;1415220120;sdb;1533.95;7146.67;40847.33;31.29;3.82;2.49;0.02;3.81
axle;60;1415220120;sda;29.03;0.00;1061.73;36.57;0.01;0.37;0.20;0.58
axle;60;1415220180;sdb;129.83;7471.07;12703.60;155.39;0.11;0.82;0.06;0.76
axle;60;1415220180;sda;3.00;0.00;351.73;117.24;0.00;0.13;0.02;0.01
axle;60;1415220240;sdb;1503.43;7048.53;61597.60;45.66;4.48;2.98;0.03;4.79
axle;60;1415220240;sda;10.95;0.13;389.73;35.60;0.10;8.84;1.24;1.36
axle;60;1415220300;sdb;241.92;7146.40;28091.60;145.66;1.32;5.45;0.10;2.43
axle;60;1415220300;sda;5.13;0.00;463.33;90.26;0.00;0.87;0.40;0.21
axle;60;1415220360;sdb;1521.08;7253.33;42266.80;32.56;2.87;1.89;0.02;3.66
axle;60;1415220360;sda;3.43;0.00;65.47;19.07;0.00;0.35;0.35;0.12
axle;60;1415220420;sdb;223.57;7078.40;8837.73;71.19;0.56;2.52;0.05;1.05
axle;60;1415220420;sda;3.18;0.13;362.13;113.80;0.00;0.13;0.13;0.04
axle;60;1415220480;sdb;1542.82;6912.13;40615.73;30.81;3.65;2.37;0.03;4.19
axle;60;1415220480;sda;2.87;0.00;61.33;21.40;0.00;0.00;0.00;0.00
axle;60;1415220540;sdb;139.88;7291.73;21028.40;202.46;0.09;0.65;0.06;0.88
axle;60;1415220540;sda;14.62;0.00;677.07;46.32;0.01;0.40;0.26;0.38
axle;60;1415220600;sdb;246.52;6984.53;37798.80;181.66;1.50;6.08;0.10;2.51
axle;60;1415220600;sda;49.62;2.40;2032.67;41.02;0.26;5.25;0.26;1.30
axle;60;1415220660;sdb;1740.02;6745.60;104530.67;63.95;4.92;2.83;0.04;6.71
axle;60;1415220660;sda;67.92;0.00;2024.93;29.81;0.02;0.35;0.18;1.21
axle;60;1415220720;sdb;288.93;7254.13;52091.07;205.39;0.67;2.32;0.12;3.43
axle;60;1415220720;sda;14.50;1.33;399.60;27.65;0.01;0.74;0.23;0.33
axle;60;1415220780;sdb;1635.52;6986.67;102144.00;66.73;4.31;2.64;0.05;7.95
axle;60;1415220780;sda;30.95;0.13;1190.80;38.48;0.03;0.84;0.22;0.67
axle;60;1415220840;sdb;390.18;7066.13;50432.13;147.36;1.86;4.77;0.12;4.57
axle;60;1415220840;sda;37.27;0.00;954.13;25.60;0.49;13.19;0.18;0.65
axle;60;1415220900;sdb;1605.67;7471.07;47482.80;34.22;3.80;2.37;0.03;5.05
axle;60;1415220900;sda;4.42;0.00;384.27;87.00;0.00;0.23;0.09;0.04
axle;60;1415220960;sdb;339.75;6976.00;76038.27;244.34;2.91;8.55;0.15;5.14
axle;60;1415220960;sda;45.18;0.00;1308.53;28.96;0.01;0.27;0.14;0.63
axle;60;1415221020;sdb;297.03;7022.93;66067.73;246.07;1.73;5.82;0.13;3.97
axle;60;1415221020;sda;166.68;0.67;4396.93;26.38;0.85;5.12;0.19;3.15
axle;60;1415221080;sdb;1623.58;7142.53;46706.00;33.17;3.37;2.08;0.03;4.42
axle;60;1415221080;sda;10.78;0.00;254.80;23.63;0.01;1.21;0.31;0.33
axle;60;1415221140;sdb;167.60;7338.67;9367.87;99.68;0.43;2.59;0.07;1.17
axle;60;1415221140;sda;4.47;0.00;370.40;82.93;0.00;0.00;0.00;0.00
axle;60;1415221200;sdb;1484.58;8495.07;40635.33;33.09;3.48;2.35;0.02;3.53
axle;60;1415221200;sda;2.23;0.00;342.00;153.13;0.00;2.03;1.01;0.23
axle;60;1415221260;sdb;173.98;8213.33;11680.13;114.34;0.17;0.96;0.06;1.03
axle;60;1415221260;sda;3.10;6.93;343.60;113.08;0.01;2.80;0.54;0.17
axle;60;1415221320;sdb;1033.15;8938.93;28749.33;36.48;2.54;2.46;0.03;2.97
axle;60;1415221320;sda;2.27;0.00;337.87;149.06;0.00;0.00;0.00;0.00
axle;60;1415221380;sdb;1232.65;8870.40;33946.27;34.74;3.17;2.57;0.03;3.33
axle;60;1415221380;sda;2.58;0.00;645.60;249.91;0.00;0.00;0.00;0.00
