# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415219280;639088;263480468;99.76;111124;234455248;98169116;35.87;166772352;87162048
axle;60;1415219340;1921760;262197796;99.27;107816;229806056;101715756;37.17;167175788;85498204
axle;60;1415219400;6239328;257880228;97.64;107912;226063664;101153712;36.96;166379356;81998820
axle;60;1415219460;7918072;256201484;97.00;108132;226478452;99120400;36.22;164587192;82140740
axle;60;1415219520;5822496;258297060;97.80;108304;227341476;100398944;36.68;166010216;82801644
axle;60;1415219580;4999256;259120300;98.11;108576;228288108;100226860;36.62;165886828;83749264
axle;60;1415219640;2088524;262031032;99.21;108780;229511856;102022676;37.28;167792816;84756076
axle;60;1415219700;2244508;261875048;99.15;108960;227371592;103948820;37.98;169318960;83076456
axle;60;1415219760;9940084;254179472;96.24;109168;225888912;97750952;35.72;163337748;81378324
axle;60;1415219820;10734704;253384852;95.94;109384;224820052;98005612;35.81;163885444;80034536
axle;60;1415219880;6923224;257196332;97.38;109592;225018864;101614280;37.13;167709136;80037568
axle;60;1415219940;8280572;255838984;96.86;109548;224700812;100644280;36.77;166285292;80042712
axle;60;1415220000;7543476;256576080;97.14;110036;226263028;99868884;36.49;165721880;81395220
axle;60;1415220060;5766760;258352796;97.82;110228;227611624;100237352;36.62;166361632;82535380
axle;60;1415220120;5842304;258277252;97.79;110220;227693188;100172760;36.60;166197996;82610904
axle;60;1415220180;8596960;255522596;96.75;110448;225814024;99208944;36.25;165863400;80214648
axle;60;1415220240;5886140;258233416;97.77;110592;226332536;101636584;37.14;167878948;80896424
axle;60;1415220300;9281000;254838556;96.49;110776;226992388;97256280;35.54;163953020;81389568
axle;60;1415220360;6990596;257128960;97.35;110992;226417260;100225828;36.62;167050580;80599332
axle;60;1415220420;7804208;256315348;97.05;111196;226177904;99519080;36.36;166682896;80177820
axle;60;1415220480;8297632;255821924;96.86;111408;226407172;98905756;36.14;166173080;80206524
axle;60;1415220540;7415212;256704344;97.19;111596;227375512;98896980;36.14;166167492;81083020
axle;60;1415220600;6353380;257766176;97.59;111644;228191404;99062896;36.20;166312508;81977684
axle;60;1415220660;510700;263608856;99.81;111736;229882820;103197500;37.71;170238360;83921284
axle;60;1415220720;1271128;262848428;99.52;111984;230590412;101712348;37.16;168886888;84526288
axle;60;1415220780;4410952;259708604;98.33;112300;230031152;99006592;36.18;166329044;83912056
axle;60;1415220840;3542324;260577232;98.66;112356;229040732;101106164;36.94;168532112;82620060
axle;60;1415220900;4624676;259494880;98.25;112552;228460404;100485180;36.72;167899948;82141944
axle;60;1415220960;2313320;261806236;99.12;112636;230192548;100851612;36.85;168365776;83956456
axle;60;1415221020;963072;263156484;99.64;101184;228106104;104485748;38.18;169293352;84418520
axle;60;1415221080;6376520;257743036;97.59;101376;227089364;100107336;36.58;165051124;83263712
axle;60;1415221140;13260064;250859492;94.98;101588;224716072;95680148;34.96;160902896;80703668
axle;60;1415221200;18551792;245567764;92.98;101768;224997268;90213728;32.96;155726692;80753020
axle;60;1415221260;18282504;245837052;93.08;102028;225267024;90201972;32.96;155937008;80813792
axle;60;1415221320;17994588;246124968;93.19;102316;225553632;90158188;32.94;156162708;80874908
axle;60;1415221380;17661504;246458052;93.31;102472;225888368;90150304;32.94;156408084;80964600
